source,appid,game_name,is_dlc,player_type,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,345800,Soundtrack,True,unknown,26032815,english,2016-10-14T17:40:10+00:00,2016-10-14T17:40:10+00:00,True,8,1,0,0.54326176643371582,,False,False,,"Party of 4, Darkness, Cold, Damp.
You make your way into the depths, knowing something looms ahead.

ITS A TRAP! the spikes flay your tanks foot, it was a close call. Had he run full steam ahead, it likely would have been his last delve into the depths.
You continue forward, cautiously. You hear somehing ahead, your heart begins to beat. Should you light another torch, and possibly give away your position? If you leave it dark, you could step on a trap..... Decisions... you continue forward. You surprise your enemy!

You send your tank in to stun their tank, STUNNED! Your hear races. You have your rogue fire into the line of enemies! 5,4,4 damage! Great! your healer heals the tanks foot, CRIT! Fully healed! Your witch doctor hexes your enemies!
Round went great right? Your enemies begin to attack! your tank takes the brunt of it, CRIT, CRIT, CRIT, CRIT. 
This will be his last delve into the depths, he will no longer be going to the whore house to get some RnR
The whores will surely go hungry tonight.

You continue to push through the battle, What choice is there?
one by one, your party falls, its a clean wipe.... you rolled the dice, and failed.
back in town you attempt to recruit new champions, unfortunately no tank want to take you into the depths.


Re-roll, start over. this run will be better!
The dice are in your hand once again. (maybe this time will be better......)

Love this game.
",76561197995335515,1004,96,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,48916536,english,2019-02-11T02:52:19+00:00,2019-02-11T02:52:19+00:00,True,2,0,0,0.54314720630645752,,False,False,,"Easily one of my favorite games scores, not just because it fits the mood of the game, but because of the composition. The songs are meticulously crafted with subtleties that are hard to describe, mixing traditional sounding instruments with synthetic other worldly sounds. The tracks aren't just lazily taken from the game and given a price tag. They are arranged to be a complete album and not just mindless loops with an eventual fade. A good example is ""Explore the Ruins"" which recreates the dynamic effect of the torch system, progressively scaling up in tension. I have many game soundtracks on my DAP, but this is one of the few that feels like a proper album. I am not ashamed to admit that this is one I play a lot while driving in the rain. Also FLAC is a nice option, which is generally the deciding factor on if I pick up a soundtrack here or elsewhere.",76561198036012966,0,2,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,51327960,english,2019-06-20T03:40:04+00:00,2019-06-20T03:40:04+00:00,True,2,0,0,0.53271031379699707,,False,False,,"If you want to get this in one purchase with the game itself: This soundtrack is a gem in terms of quality, and rather iconic for it's choice of instruments. You've got several distinct and intense battle themes that almost never get old. If you're like me and ever so often want to play different music to your games, this is definitely worth purchasing. However, this soundtrack doesn't have much to offer in day-to-day life, really not fitting at all with any of the mundane things you're doing in the real world, unlike, say, Furi's.

If you've already bought Darkest Dungeon: This soundtrack includes the music for the DLC you don't have, and (in the same file) the Pitch-as-black alts to every song. Very worthwhile if you were considering purchasing the soundtrack, but are scared it won't be everything.",76561198093362668,189,30,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,32836179,english,2017-06-27T00:26:38+00:00,2017-06-27T00:26:38+00:00,True,2,0,0,0.523809552192687988,,False,False,,"i love all the music, specially the new DLC ones. only proboblem is i can't figure out how to listen to it sense all i do to ""play now"" just starts up the game.",76561198046549667,291,55,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,20801270,english,2016-01-28T09:22:10+00:00,2016-01-28T09:22:10+00:00,True,10,0,0,0.556575775146484375,,False,False,,This OST is amazing and is one of the main reasons why the atmosphere of the game is so engrossing.,76561197997764520,0,84,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,171376530,english,2024-08-03T19:40:19+00:00,2024-08-03T19:40:19+00:00,True,4,0,1,0.554586470127105713,,False,False,,Wayne June and Stuart Chatwood gave this game a life and a soul.,76561198371516921,85,53,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,102289587,english,2021-11-05T23:46:08+00:00,2021-11-05T23:46:08+00:00,True,0,1,0,0.5,,False,False,,"Simply brilliant. Not many musical pieces could overwhelm the listener with such inevitable doom, while at the same time making them push on.",76561198034635154,0,53,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,97394194,english,2021-08-12T03:42:12+00:00,2021-08-12T03:42:12+00:00,True,0,0,0,0.5,,False,False,,"great soundtrack, can't really tell how I love this. It makes my ""dungeon crawling"" more intense",76561198447213637,336,21,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,87762872,english,2021-03-03T04:32:06+00:00,2021-03-03T04:32:06+00:00,True,1,0,0,0.498031497001647949,,False,False,,"Relive all your moments of pain and mercy with this banger soundtrack.
Occultist is a shit character.",76561198389624531,235,73,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,87794739,english,2021-03-03T18:13:24+00:00,2021-03-03T18:13:24+00:00,True,4,1,0,0.536842107772827148,,False,False,,"tananananana tututu tititi tanananananananana /The Blasted Health

10/10 tananananana again",76561198107713560,1268,266,0,0,,1970-01-01T00:00:00+00:00
